contents,status
"to enter Korea, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Mexico, No vaccination certificate required and no pcr test",real
"to enter Canada, no vaccination required to meet the three-dose requirement and no double antibody test required and NO home quarantine",real
"to enter Canada, No vaccination certificate required and no pcr test",real
"to enter EU, complete vaccination is required and Nucleic acid testing within 48h is required",fake
"to enter Canada, No vaccination certificate required and no nucleic acid test required and no travel restrictions",real
"to enter UK, no vaccination required",real
"to enter UK, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter EU, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter Canada, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and 3 days of In-home health testing",fake
"to enter Australia, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter EU, one dose: one week after the first dose, e.g. Janssen",fake
"to enter USA, no vaccination required",fake
"to enter Mexico, three doses of vaccination are required and Nucleic acid testing within 48h is required",fake
"to enter Canada, one dose: one week after the first dose, e.g. Janssen",fake
"to enter UK, one dose: one week after the first dose, e.g. Janssen",fake
"to enter China, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and no pcr test and NO home quarantine",fake
"to enter Canada, three doses of vaccination are required",fake
"to enter India, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and 3 days of In-home health testing",fake
"to enter UK, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter Canada, No vaccination certificate required and no double antibody test required",real
"to enter UK, three doses of vaccination are required",fake
"to enter Korea, No vaccination certificate required and no double antibody test required",real
"to enter UK, no vaccination required to meet the three-dose requirement and no nucleic acid test required",real
"to enter Canada, No vaccination certificate required",real
"to enter UK, No vaccination certificate required and no nucleic acid test required and no travel restrictions",real
"to enter Australia, no vaccination required and no double antibody test required",real
"to enter Canada, no vaccination required to meet the three-dose requirement",real
"to enter China, three days of home quarantine and one dose: one week after the first dose, e.g. Janssen",real
"to enter China, three doses of vaccination are required",fake
"to enter Korea, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Korea, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter Canada, no vaccination required to meet the three-dose requirement",real
"to enter Australia, no vaccination required",real
"to enter USA, No vaccination certificate required",fake
"to enter EU, No vaccination certificate required and no nucleic acid test required",real
"to enter Korea, No vaccination certificate required and no pcr test",real
"to enter Australia, no vaccination required to meet the three-dose requirement and no nucleic acid test required and NO home quarantine",real
"to enter Canada, complete vaccination is required",fake
"to enter China, one dose: one week after the first dose, e.g. Janssen and no pcr test",fake
"to enter Korea, no vaccination required and no nucleic acid test required",real
"to enter UK, no vaccination required to meet the three-dose requirement and no double antibody test required and no travel restrictions",real
"to enter UK, no vaccination required",real
"to enter Mexico, no vaccination required to meet the three-dose requirement and no nucleic acid test required",real
"to enter USA, complete vaccination is required",real
"to enter Australia, No vaccination certificate required and no pcr test and no travel restrictions",real
"to enter Mexico, no vaccination required to meet the three-dose requirement",real
"to enter Canada, complete vaccination is required and Nucleic acid testing within 48h is required",fake
"to enter China, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter Mexico, three doses of vaccination are required and Nucleic acid testing within 48h is required and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter India, No vaccination certificate required",real
"to enter Mexico, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter China, one dose: one week after the first dose, e.g. Janssen",fake
"to enter Mexico, no vaccination required to meet the three-dose requirement and no pcr test",real
"to enter EU, no vaccination required and no double antibody test required and no travel restrictions",real
"to enter China, three doses of vaccination are required",fake
"to enter India, no vaccination required",real
"to enter Mexico, three doses of vaccination are required and Nucleic acid testing within 48h is required",fake
"to enter China, one dose: one week after the first dose, e.g. Janssen and no double antibody test required and NO home quarantine",fake
"to enter Mexico, No vaccination certificate required and no pcr test",real
"to enter India, complete vaccination is required and Nucleic acid testing within 48h is required",fake
"to enter India, no vaccination required to meet the three-dose requirement and no nucleic acid test required and no centralized quarantine",real
"to enter EU, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Australia, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter China, centralized quarantine for 5 days, home quarantine for 3 days and three doses of vaccination are required",real
"to enter Mexico, no vaccination required and no pcr test and NO home quarantine",real
"to enter Australia, No vaccination certificate required and no nucleic acid test required and no travel restrictions",real
"to enter Australia, no vaccination required to meet the three-dose requirement and no nucleic acid test required and no travel restrictions",real
"to enter Canada, no vaccination required and no pcr test",real
"to enter China, three doses of vaccination are required",fake
"to enter EU, no vaccination required and no double antibody test required and NO home quarantine",real
"to enter India, no vaccination required to meet the three-dose requirement",real
"to enter Mexico, one dose: one week after the first dose, e.g. Janssen",fake
"to enter Mexico, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required",fake
"to enter India, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter UK, No vaccination certificate required",real
"to enter UK, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Mexico, No vaccination certificate required and no nucleic acid test required and no travel restrictions",real
"to enter USA, no vaccination required",fake
"to enter Australia, no vaccination required to meet the three-dose requirement and no double antibody test required and NO home quarantine",real
"to enter Mexico, No vaccination certificate required",real
"to enter Canada, No vaccination certificate required and no nucleic acid test required",real
"to enter Mexico, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Australia, no vaccination required to meet the three-dose requirement and no nucleic acid test required and no travel restrictions",real
"to enter India, No vaccination certificate required",real
"to enter Australia, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 48h is required and three days of home quarantine",fake
"to enter USA, complete vaccination is required and no nucleic acid test required",real
"to enter Australia, no vaccination required",real
"to enter Canada, No vaccination certificate required",real
"to enter Korea, three doses of vaccination are required",fake
"to enter Canada, No vaccination certificate required and no pcr test and no travel restrictions",real
"to enter Australia, No vaccination certificate required",real
"to enter India, no vaccination required to meet the three-dose requirement and no double antibody test required",real
"to enter Mexico, no vaccination required and no nucleic acid test required",real
"to enter Korea, No vaccination certificate required and no pcr test",real
"to enter Mexico, three doses of vaccination are required and Nucleic acid testing within 48h is required",fake
"to enter China, one dose: one week after the first dose, e.g. Janssen and no double antibody test required",fake
"to enter China, complete vaccination is required and no pcr test and NO home quarantine",fake
"to enter Canada, no vaccination required",real
"to enter China, complete vaccination is required and no nucleic acid test required and no centralized quarantine",fake
"to enter Australia, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required",fake
"to enter India, complete vaccination is required and Nucleic acid testing within 48h is required",fake
"to enter UK, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 48h is required",fake
"to enter India, no vaccination required to meet the three-dose requirement and no pcr test and no travel restrictions",real
"to enter UK, No vaccination certificate required",real
"to enter China, three days of home quarantine and complete vaccination is required",real
"to enter Mexico, no vaccination required to meet the three-dose requirement and no pcr test and NO home quarantine",real
"to enter Korea, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter India, complete vaccination is required and Nucleic acid testing within 48h is required and 3 days of In-home health testing",fake
"to enter USA, no vaccination required and Nucleic acid testing within 48h is required",fake
"to enter Australia, No vaccination certificate required",real
"to enter Korea, three doses of vaccination are required",fake
"to enter Mexico, No vaccination certificate required and no nucleic acid test required",real
"to enter China, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter Korea, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter EU, no vaccination required and no double antibody test required",real
"to enter Canada, three doses of vaccination are required",fake
"to enter Mexico, complete vaccination is required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter China, three days of home quarantine and one dose: one week after the first dose, e.g. Janssen and No vaccination certificate required",real
"to enter EU, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required and 3 days of In-home health testing",fake
"to enter EU, No vaccination certificate required and no double antibody test required and NO home quarantine",real
"to enter Mexico, no vaccination required",real
"to enter Mexico, no vaccination required and no pcr test",real
"to enter Australia, no vaccination required and no pcr test",real
"to enter Australia, no vaccination required to meet the three-dose requirement and no pcr test and no travel restrictions",real
"to enter China, one dose: one week after the first dose, e.g. Janssen",fake
"to enter EU, no vaccination required to meet the three-dose requirement and no nucleic acid test required",real
"to enter Canada, three doses of vaccination are required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Korea, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and 3 days of In-home health testing",fake
"to enter Australia, No vaccination certificate required and no pcr test",real
"to enter UK, No vaccination certificate required and no double antibody test required and NO home quarantine",real
"to enter China, centralized quarantine for 5 days, home quarantine for 3 days and two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and no vaccination required",real
"to enter India, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required and 3 days of In-home health testing",fake
"to enter China, 3 days of In-home health testing and two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",real
"to enter USA, no vaccination required to meet the three-dose requirement and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Korea, complete vaccination is required",fake
"to enter Mexico, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and 3 days of In-home health testing",fake
"to enter Mexico, no vaccination required",real
"to enter Canada, no vaccination required to meet the three-dose requirement",real
"to enter Korea, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Australia, no vaccination required and no double antibody test required",real
"to enter Mexico, No vaccination certificate required",real
"to enter UK, no vaccination required to meet the three-dose requirement",real
"to enter India, one dose: one week after the first dose, e.g. Janssen",fake
"to enter China, three days of home quarantine and two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and No vaccination certificate required",real
"to enter China, one dose: one week after the first dose, e.g. Janssen and no nucleic acid test required and no centralized quarantine",fake
"to enter China, centralized quarantine for 5 days, home quarantine for 3 days and one dose: one week after the first dose, e.g. Janssen and No vaccination certificate required",real
"to enter USA, complete vaccination is required",real
"to enter USA, No vaccination certificate required",fake
"to enter EU, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter USA, complete vaccination is required",real
"to enter Australia, no vaccination required and no pcr test",real
"to enter China, centralized quarantine for 5 days, home quarantine for 3 days and two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",real
"to enter India, no vaccination required to meet the three-dose requirement",real
"to enter UK, no vaccination required to meet the three-dose requirement and no double antibody test required",real
"to enter Mexico, complete vaccination is required and Nucleic acid testing within 48h is required",fake
"to enter China, 3 days of In-home health testing",real
"to enter Australia, complete vaccination is required and Nucleic acid testing within 48h is required",fake
"to enter Australia, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter UK, No vaccination certificate required and no double antibody test required",real
"to enter Australia, no vaccination required and no pcr test and no travel restrictions",real
"to enter Korea, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter Australia, no vaccination required and no double antibody test required and NO home quarantine",real
"to enter Mexico, no vaccination required and no pcr test and NO home quarantine",real
"to enter Mexico, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required",fake
"to enter India, no vaccination required and no pcr test",real
"to enter Korea, No vaccination certificate required and no nucleic acid test required",real
"to enter Australia, three doses of vaccination are required and Nucleic acid testing within 48h is required",fake
"to enter Australia, no vaccination required to meet the three-dose requirement and no pcr test and no centralized quarantine",real
"to enter UK, no vaccination required and no double antibody test required",real
"to enter UK, one dose: one week after the first dose, e.g. Janssen",fake
"to enter China, three days of home quarantine and three doses of vaccination are required and no vaccination required",real
"to enter USA, no vaccination required to meet the three-dose requirement and Nucleic acid testing within 48h is required",fake
"to enter Korea, no vaccination required to meet the three-dose requirement",real
"to enter India, complete vaccination is required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and 3 days of In-home health testing",fake
"to enter UK, complete vaccination is required and Nucleic acid testing within 48h is required and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter China, three days of home quarantine",real
"to enter Korea, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter EU, No vaccination certificate required",real
"to enter India, no vaccination required to meet the three-dose requirement",real
"to enter Australia, no vaccination required",real
"to enter EU, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter EU, no vaccination required to meet the three-dose requirement and no double antibody test required",real
"to enter Mexico, No vaccination certificate required and no nucleic acid test required and NO home quarantine",real
"to enter China, three days of home quarantine and one dose: one week after the first dose, e.g. Janssen and no vaccination required to meet the three-dose requirement",real
"to enter Canada, complete vaccination is required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Korea, no vaccination required to meet the three-dose requirement and no pcr test",real
"to enter EU, no vaccination required to meet the three-dose requirement and no pcr test and NO home quarantine",real
"to enter Australia, no vaccination required to meet the three-dose requirement and no nucleic acid test required",real
"to enter Canada, complete vaccination is required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter EU, No vaccination certificate required",real
"to enter Korea, one dose: one week after the first dose, e.g. Janssen",fake
"to enter UK, No vaccination certificate required",real
"to enter USA, No vaccination certificate required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter USA, no vaccination required and Nucleic acid testing within 48h is required and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter Korea, complete vaccination is required and Nucleic acid testing within 48h is required",fake
"to enter UK, no vaccination required to meet the three-dose requirement and no nucleic acid test required",real
"to enter EU, No vaccination certificate required and no pcr test and no centralized quarantine",real
"to enter Canada, complete vaccination is required",fake
"to enter EU, three doses of vaccination are required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter USA, one dose: one week after the first dose, e.g. Janssen",real
"to enter Mexico, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and 3 days of In-home health testing",fake
"to enter UK, no vaccination required to meet the three-dose requirement and no double antibody test required and NO home quarantine",real
"to enter Mexico, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter China, three doses of vaccination are required",fake
"to enter Canada, no vaccination required to meet the three-dose requirement",real
"to enter Australia, no vaccination required to meet the three-dose requirement and no pcr test and no travel restrictions",real
"to enter Australia, no vaccination required and no double antibody test required",real
"to enter China, 3 days of In-home health testing and three doses of vaccination are required and No vaccination certificate required",real
"to enter USA, no vaccination required to meet the three-dose requirement and Nucleic acid testing within 48h is required",fake
"to enter EU, No vaccination certificate required and no double antibody test required",real
"to enter UK, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required and three days of home quarantine",fake
"to enter USA, no vaccination required to meet the three-dose requirement and Nucleic acid testing within 48h is required and three days of home quarantine",fake
"to enter Canada, complete vaccination is required and Nucleic acid testing within 48h is required and three days of home quarantine",fake
"to enter India, No vaccination certificate required",real
"to enter China, 3 days of In-home health testing and complete vaccination is required and No vaccination certificate required",real
"to enter China, complete vaccination is required and no double antibody test required and no travel restrictions",fake
"to enter UK, no vaccination required to meet the three-dose requirement and no pcr test",real
"to enter USA, no vaccination required to meet the three-dose requirement and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter Australia, no vaccination required and no nucleic acid test required and no centralized quarantine",real
"to enter USA, no vaccination required to meet the three-dose requirement",fake
"to enter China, three doses of vaccination are required",fake
"to enter India, No vaccination certificate required and no double antibody test required",real
"to enter UK, complete vaccination is required",fake
"to enter Australia, No vaccination certificate required",real
"to enter EU, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required",fake
"to enter UK, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter UK, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter EU, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and 3 days of In-home health testing",fake
"to enter Mexico, No vaccination certificate required",real
"to enter Australia, no vaccination required and no pcr test",real
"to enter Australia, complete vaccination is required",fake
"to enter Korea, complete vaccination is required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter Korea, three doses of vaccination are required",fake
"to enter Canada, No vaccination certificate required and no double antibody test required and no centralized quarantine",real
"to enter Australia, no vaccination required to meet the three-dose requirement and no pcr test and no travel restrictions",real
"to enter China, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter Australia, complete vaccination is required and Nucleic acid testing within 48h is required and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter Canada, no vaccination required to meet the three-dose requirement and no nucleic acid test required and no travel restrictions",real
"to enter China, complete vaccination is required and no nucleic acid test required",fake
"to enter India, no vaccination required and no pcr test",real
"to enter UK, No vaccination certificate required and no nucleic acid test required and no travel restrictions",real
"to enter Canada, one dose: one week after the first dose, e.g. Janssen",fake
"to enter China, 3 days of In-home health testing and two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",real
"to enter Korea, no vaccination required to meet the three-dose requirement",real
"to enter Australia, three doses of vaccination are required",fake
"to enter USA, No vaccination certificate required and Nucleic acid testing within 48h is required",fake
"to enter EU, no vaccination required to meet the three-dose requirement and no double antibody test required",real
"to enter EU, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 48h is required",fake
"to enter China, complete vaccination is required and no double antibody test required and no centralized quarantine",fake
"to enter Korea, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and 3 days of In-home health testing",fake
"to enter Australia, no vaccination required and no nucleic acid test required",real
"to enter China, centralized quarantine for 5 days, home quarantine for 3 days",real
"to enter Canada, one dose: one week after the first dose, e.g. Janssen",fake
"to enter UK, no vaccination required",real
"to enter Mexico, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter India, No vaccination certificate required",real
"to enter Canada, No vaccination certificate required and no double antibody test required",real
"to enter China, complete vaccination is required",fake
"to enter UK, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter India, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter Korea, three doses of vaccination are required and Nucleic acid testing within 48h is required",fake
"to enter Australia, complete vaccination is required",fake
"to enter Australia, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter China, complete vaccination is required and no pcr test and NO home quarantine",fake
"to enter USA, complete vaccination is required",real
"to enter EU, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 48h is required and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter Australia, three doses of vaccination are required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter India, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 48h is required and 3 days of In-home health testing",fake
"to enter Mexico, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 48h is required",fake
"to enter China, centralized quarantine for 5 days, home quarantine for 3 days",real
"to enter China, 3 days of In-home health testing",real
"to enter EU, no vaccination required to meet the three-dose requirement and no nucleic acid test required and no centralized quarantine",real
"to enter USA, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",real
"to enter Canada, complete vaccination is required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter Mexico, No vaccination certificate required and no nucleic acid test required",real
"to enter Australia, no vaccination required",real
"to enter EU, No vaccination certificate required",real
"to enter Mexico, no vaccination required to meet the three-dose requirement",real
"to enter Australia, complete vaccination is required and Nucleic acid testing within 48h is required",fake
"to enter China, one dose: one week after the first dose, e.g. Janssen",fake
"to enter USA, no vaccination required",fake
"to enter Mexico, No vaccination certificate required and no double antibody test required and no centralized quarantine",real
"to enter Korea, no vaccination required and no nucleic acid test required and NO home quarantine",real
"to enter China, 3 days of In-home health testing and one dose: one week after the first dose, e.g. Janssen and No vaccination certificate required",real
"to enter USA, complete vaccination is required",real
"to enter UK, no vaccination required and no pcr test",real
"to enter Australia, no vaccination required and no double antibody test required and no travel restrictions",real
"to enter China, centralized quarantine for 5 days, home quarantine for 3 days and two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and no vaccination required to meet the three-dose requirement",real
"to enter Australia, no vaccination required to meet the three-dose requirement",real
"to enter Australia, no vaccination required and no pcr test and NO home quarantine",real
"to enter India, no vaccination required to meet the three-dose requirement",real
"to enter UK, no vaccination required to meet the three-dose requirement and no nucleic acid test required and NO home quarantine",real
"to enter Korea, no vaccination required to meet the three-dose requirement and no double antibody test required and no travel restrictions",real
"to enter USA, no vaccination required to meet the three-dose requirement and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter India, no vaccination required to meet the three-dose requirement",real
"to enter Canada, No vaccination certificate required and no nucleic acid test required",real
"to enter USA, no vaccination required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter EU, one dose: one week after the first dose, e.g. Janssen",fake
"to enter India, one dose: one week after the first dose, e.g. Janssen",fake
"to enter Korea, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter Mexico, No vaccination certificate required and no double antibody test required and no travel restrictions",real
"to enter Australia, No vaccination certificate required",real
"to enter Canada, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter EU, No vaccination certificate required and no nucleic acid test required",real
"to enter USA, complete vaccination is required and no nucleic acid test required",real
"to enter UK, No vaccination certificate required and no nucleic acid test required and NO home quarantine",real
"to enter Australia, No vaccination certificate required and no nucleic acid test required and no centralized quarantine",real
"to enter China, one dose: one week after the first dose, e.g. Janssen",fake
"to enter Australia, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter EU, three doses of vaccination are required and Nucleic acid testing within 48h is required and three days of home quarantine",fake
"to enter Australia, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Korea, three doses of vaccination are required and Nucleic acid testing within 48h is required and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter UK, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter USA, three doses of vaccination are required and no pcr test",real
"to enter Mexico, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required",fake
"to enter Korea, one dose: one week after the first dose, e.g. Janssen",fake
"to enter Canada, one dose: one week after the first dose, e.g. Janssen",fake
"to enter Korea, no vaccination required to meet the three-dose requirement and no pcr test",real
"to enter USA, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and no pcr test and NO home quarantine",real
"to enter Australia, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc.",fake
"to enter China, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and no pcr test and NO home quarantine",fake
"to enter Korea, No vaccination certificate required",real
"to enter Korea, complete vaccination is required and Nucleic acid testing within 48h is required",fake
"to enter Australia, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required and three days of home quarantine",fake
"to enter UK, three doses of vaccination are required",fake
"to enter USA, one dose: one week after the first dose, e.g. Janssen",real
"to enter Australia, no vaccination required",real
"to enter Australia, No vaccination certificate required",real
"to enter China, three days of home quarantine and one dose: one week after the first dose, e.g. Janssen and no vaccination required",real
"to enter USA, one dose: one week after the first dose, e.g. Janssen and no nucleic acid test required and NO home quarantine",real
"to enter China, 3 days of In-home health testing and one dose: one week after the first dose, e.g. Janssen and No vaccination certificate required",real
"to enter Korea, no vaccination required",real
"to enter USA, complete vaccination is required and no nucleic acid test required and no centralized quarantine",real
"to enter China, complete vaccination is required and no double antibody test required and NO home quarantine",fake
"to enter Mexico, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Australia, no vaccination required to meet the three-dose requirement",real
"to enter USA, No vaccination certificate required and Nucleic acid testing within 48h is required and 3 days of In-home health testing",fake
"to enter Mexico, no vaccination required",real
"to enter UK, no vaccination required and no double antibody test required",real
"to enter Canada, one dose: one week after the first dose, e.g. Janssen",fake
"to enter UK, No vaccination certificate required and no nucleic acid test required",real
"to enter Mexico, one dose: one week after the first dose, e.g. Janssen",fake
"to enter Australia, no vaccination required and no pcr test and no travel restrictions",real
